ذرية	ðurrijjah
متوسط	mutawassitˤ
ديبوذ	dajabuð
أطرش	ʔatˤraʃ
مكون	mukawwin
قاقلة	qaqilla
أندر	ʔandar
جدد	d͡ʒaddada
قريدسة	qurajdisa
قيمة	ɡima
هن	hin
تقدد	taqaddada
دلو	dalw
سميد	samid
جريب	d͡ʒurajb
دمع	damʕ
آ	ʔa
شقة	ʃuqqa
لبلاب	lablab
قطعة	qatˤaʕa
برغي	burɣijj
ثيوقراطي	θijuqratˤijj
عوينات	ʕuwajnat
مبتل	mubtalin
ققنوس	quqnus
نظارة	naðˤðˤara
تقويم	taqwim
هيا	hajja
سرقين	sirqin
وقية	wiqijja
مقصود	maqsˤud
لوح	loħ
حديث	ħadiθ
بورندي	burundi
حظيرة	ħaðˤira
بهمن	bahman
وقية	wuqijja
مرقاق	mirqaq
كليل	kalil
رومانسي	rumansijj
سنونوة	sununuwa
رمادي	ramadijj
صرب	sˤaraba
دون	dawwana
ظفر	ðˤafira
محاصر	muħasˤir
قشر	ɡiʃir
بطم	butˤm
قرقس	qirqis
انتقاض	intiqadˤ
مساومة	musawama
تاء	taʔ
سبح	sabaħa
مختصر	muxtasˤar
شرب	ʃurb
لقاح	laqaħ
تباكى	tabaka
اتجاهات	ittid͡ʒahat
كاكنج	kakind͡ʒ
بريطاني	baritˤanijj
ناسك	nasik
رب	rabba
سعي	suʕija
دم	dum
أغلب	ʔaɣlabu
ل	l
أقضى	ʔaqdˤa
زهرة	zuhra
تبشير	tabʃir
ملك	mallaka
شيرج	ʃirid͡ʒ
بعيثران	baʕajθaran
حرق	ħaraɡ
مشكور	maʃkur
رحب	raħab
اليونان	aljunan
قرنفل	qaranful
فسيفساء	fusajfisaʔ
جارة	d͡ʒara
أخدود	ʔuxdud
قابلة	ʔabla
صحا	sˤaħa
وقت	waʔt
براين	brajan
شمس	ʃammasa
جبل	d͡ʒabala
استبد	istabadda
اجتاز	id͡ʒtaza
قمل	qaml
قشع	qaʃaʕa
أن	ʔan
أشهد	ʔaʃhada
تراب	turab
بنت	banat
كره	karih
إنجلترا	ʔinɡiltera
خاء	xaʔ
معين	muʕajjan
شاهدانق	ʃahdanaq
تفاوض	tafawudˤ
روبيان	rubijan
غ	ʁ
لبوس	labus
سبتمبر	sibtimbir
عربز	ʕarbaz
شتاء	ʃitaʔ
صبر	sˤabir
أغلب	ʔaɣliba
أثل	ʔaθl
يعقوب	jaʕqub
أسهل	ʔusahhala
إنقاض	ʔinqadˤ
ريفي	rifijj
دهليز	dihliz
ميعاد	miʕad
نظيف	naðˤif
تفسير	tafsir
شاكوش	ʃakuʃ
سفرجلة	safard͡ʒala
أيام	ʔajjam
للأسف	lilʔasaf
نساء	nisaʔ
الأوكيناوا	alʔukinawa
لازوردي	lazuwardijj
متفجرات	mutafad͡ʒd͡ʒirat
قشد	qaʃada
مهندس	muhandis
حمزة	ħamzah
عنصل	ʕunsˤal
إفرند	ʔifrind
دبقي	dibqijj
امرؤ	umruʔ
ظفر	ðˤufr
مطحنة	matˤħana
وعد	waʕada
شاورما	ʃɐwərmə
كشمش	kiʃmiʃ
بخير	bixajr
جزيرة	ɡazira
ولد	wallada
هزة	hazza
صقنقور	sˤaqanqur
وريد	warid
شاور	ʃawara
خلقي	xilqijj
أعمى	ʔuʕamma
نعامة	naʕama
أوج	ʔawd͡ʒ
طاجن	tˤad͡ʒin
اتضح	ittadˤaħa
تدريب	tadrib
ثقافة	θaqafa
مغطس	maɣtˤis
هودج	hawdad͡ʒ
قبض	qabadˤa
احتراق	iħtiraq
رائعة	raʔiʕa
أوجد	ʔud͡ʒada
ناردين	naradin
موقف	mawqif
عجاب	ʕud͡ʒab
فور	fawr
إناء	ʔinaʔ
أسفر	ʔasfara
مبارك	mubarak
أب	ʔab
عجب	ʕud͡ʒb
متطرف	mutatˤarrif
بيرو	beru
رب	rubb
شاط	ʃatˤa
برقوق	burquq
شكرا	ʃukran
خلق	xalq
أنعل	ʔanʕul
مفتش	mufattiʃ
دثر	daθr
كمان	kaman
كرة	karra
بغي	baɣijj
فنار	fanar
نفخ	nafx
السعودية	assuʕudijja
ترفع	taraffaʕa
ضحك	dˤaħika
حياة	ħajah
قلاووز	qalawuz
طيهوج	tˤihud͡ʒ
لاتفيا	latvija
رباط	ribatˤ
زرقون	zarqun
توعوي	tawʕawijj
كذاب	kaddab
سلم	sullam
ر	raʔ
فالجي	falad͡ʒijj
زائف	zaʔif
توقيف	tawqif
برتقالي	burtuqalijj
ألهى	ʔalha
منهج	manhad͡ʒ
قتل	qattala
جهد	d͡ʒahada
نظير	naðˤir
مست	masat
اقتعد	iqtaʕada
كستج	kustad͡ʒ
سنبك	sumbak
هش	haʃʃ
أم	ʔamma
دلاع	dallaʕ
مزاد	mazad
قداحة	qaddaħa
محادث	muħadiθ
لحق	laħq
مذكر	muðakkar
ترعة	turʕa
فاصولياء	fasˤulijaʔ
سيل	sajl
دعش	daʕʕaʃa
هندسي	handasijj
وزغة	wazaɣa
أيون	ʔajon
بابونج	babunad͡ʒ
هال	hal
النمسا	annamsa
حديقة	ħadiɡa
شيم	ʃim
غرق	ɣarraq
ما	ma
قناع	qinaʕ
فانيد	fanid
ضرب	dˤarb
كندوج	kandud͡ʒ
مقبل	muqbil
بلادونا	biladuna
ألم	ʔalam
طاعة	tˤaʕa
زوجة	zawd͡ʒa
قشطة	qiʃtˤa
ه	h
ثلاثون	θalaθuna
طباق	tˤibaq
نزعة	nazʕa
ضيق	dˤiq
تعصر	taʕasˤsˤara
مجري	mad͡ʒarijj
ضيعة	dˤajʕa
أبريل	ʔabril
فوار	fawwar
أحسن	ʔaħsuna
حرش	ħaraʃa
أرز	ʔaruzz
مقدونس	maqdunis
توبة	tawba
قسم	qisam
شعبة	ʃuʕba
حان	ħana
سويسري	swisrijj
جراد	d͡ʒarad
بلس	bulus
منسأة	minsaʔa
غزاوة	ɣazawa
شيح	ʃiħ
رفقة	rufqa
علقة	ʕalaqa
فرغ	fariɣ
أنغولا	ʔanɣola
قاموس	qamus
العاصي	alʕasˤi
زهرة	zahra
مخرج	muxrid͡ʒ
إصطبل	ʔisˤtˤabl
قداد	qiddad
ضمني	dˤimnijj
قطلب	qatˤlab
من	man
خابية	xabija
ذراع	ðiraʕ
فيج	fujud͡ʒ
الثلاثاء	aθθulaθaʔ
سعي	saʕj
تصعيد	tasˤʕid
كم	kam
ثيتل	θajtal
كهف	kəhf
دب	dabba
حجن	ħad͡ʒana
حوب	ħub
كاسيت	kasit
إلى	ʔilan
قرطاس	qurtˤas
قشف	qaʃifa
ابتسام	ibtisam
حفار	ħaffar
جبل	d͡ʒabl
اختط	ixtatˤtˤa
مخاض	maxadˤ
جم	d͡ʒamm
سوراني	suranijj
حب	ħabb
سبعون	sabʕuna
أذن	ʔaðana
كدس	kads
قفازات	quffazat
مناعة	manaʕa
هامش	hamiʃ
حرف	ħarafa
مقدر	muqaddar
مقولة	maqula
مقود	miqwad
ضاد	dˤad
تمرين	tamurrina
داخل	daxil
نير	najjir
زق	zuqq
أسطوانة	ʔustˤuwana
جنطيانا	d͡ʒantˤijana
إرادي	ʔiradijj
تنوير	tanwir
بوصلة	bawsˤala
تغذية	taɣðija
جمل	d͡ʒamal
مومسة	mumisa
مجادلة	mud͡ʒadalah
محسة	miħassa
حاء	ħaʔ
مستنقعات	mustanqaʕat
الإسلام	alʔislam
تسلم	tasallama
عباء	ʕabaʔ
تسلم	tasallum
رب	rabb
أسباب	ʔasbab
ضمن	dˤimna
أغلب	ʔuɣlaba
اعتقل	iʕtaqala
هيدروجين	hidroʒen
سيئ	sajjiʔ
بركة	baraka
لثغة	luθɣatun
نخل	naxxala
السودان	assudan
عري	ʕarija
قدوم	qadum
عنكبوت	ʕanakib
لكن	lakinna
عقاري	ʕaqarijj
ضرب	dˤaraba
متراس	mitras
طيرة	tˤajra
أبنوس	ʔabanus
قلادة	qilada
ق	ʔ
من	min
فلان	fulan
سوفياتي	sufjatijj
شليل	ʃalil
حميم	ħamim
أعصر	ʔaʕsˤara
نقض	nuqdˤa
أنزل	ʔanzala
لكم	lakama
شونة	ʃuna
كأن	kaʔanna
فظع	faðˤiʕa
لقمة	luqma
تضامني	tadˤamunijj
ضمن	dˤammana
لون	lawn
أوروبي	ʔurubbijj
حلقة	ħalqa
ملاك	mullak
انتظم	intaðˤama
أوحال	ʔawħal
قلاية	qillaja
سكن	sakan
مجسم	mud͡ʒassam
مقام	maɡam
استفتى	istafta
غزال	ɣazal
تذبذب	taðabðaba
كمح	kamaħa
صدق	sˤadaqa
بلور	billur
قام	ɡam
انقرض	inqaradˤa
أصهب	ʔasˤhaba
ثقة	θiqa
جامايكا	d͡ʒamajka
بيلاروسيا	belarusja
تبحر	tabaħħara
اعتزل	iʕtazala
دائمي	daʔimijj
نوم	nawwama
مخالف	muxalif
حجاب	ħd͡ʒɑb
رحب	raħiba
كامبودي	kambudijj
طرفاء	tˤarfaʔ
الأشهل	alʔaʃhal
لبأ	libaʔ
قرية	qarijja
مديرة	mudira
محمدة	muħammada
قلائد	qalaʔid
تحمس	taħammus
خرج	xard͡ʒ
فاء	faʔ
مستاجر	mustaʔd͡ʒir
الله	aɫɫahu
كسحاء	kasħaʔ
دمية	dumja
آمن	ʔaman
غلقة	ɣilqa
تهدد	tahaddada
مثل	miθla
مرشة	miraʃa
شلال	ʃallal
خردل	xardal
هايتي	haiti
حانوت	ħanut
مخطوطة	maxtˤutˤa
ضيق	dˤajjiq
تماسك	tamasuk
أقرع	ʔaqraʕ
سمن	siman
انجذاب	ind͡ʒiðab
زرقطونا	zarqatˤuna
قيطون	qatˤun
هش	haʃʃa
ظربان	ðˤariban
أوضح	ʔawdˤaħa
انخفاض	inxifadˤ
عجب	ʕad͡ʒiba
برباريس	barbaris
أثث	ʔaθθaθa
ردع	radaʕa
قفص	qufsˤ
قاف	qaf
قدم	qaddama
قابلة	ɡabla
حرش	ħariʃ
عباية	ʕabaja
ليرة	lajra
أولئك	ʔulaʔika
فراغ	faraɣ
صواع	sˤuwaʕ
مقاود	maqawid
سعة	saʕa
عرف	ʕurf
ميدان	majdan
منار	manar
بستان	bustan
طخش	tˤaxʃ
استحم	istaħamma
ياء	jaʔ
قاء	qaʔa
جوافة	d͡ʒuwafa
ألوهية	ʔuluhijja
سركنجبين	sirkand͡ʒabin
أعتاب	ʔaʕtab
فؤاد	fuʔad
إدحية	ʔidħija
مروض	murawwidˤ
تهذيب	tahðib
تسلل	tasallala
جميل	d͡ʒamil
محاكمة	muħakama
أمسك	ʔamsaka
ركلة	rakla
وبال	wabal
بنت	bintu
جذمور	d͡ʒuðmur
ناغش	naɣiʃa
نموذجي	namuðad͡ʒijj
تين	tin
دمنة	dimna
فاصوليا	fasˤulija
زحافة	zaħħafa
حكمة	ħikma
رف	raff
أدبي	ʔadabijj
اليابان	aljaban
وأى	waʔa
فحم	faħm
رصفان	rusˤfan
فن	fann
قلقطار	qalqatˤar
بربخ	barbax
سمن	simna
شريطة	ʃaritˤa
قطع	qatˤaʕa
صغير	sˤaɣir
أمس	ʔamassa
زخ	zaxxa
أوقية	ʔuqijja
قرميدة	qirmida
حادث	ħadiθ
عمة	ʕamma
اتحاد	ittiħad
بوصلة	busˤula
علي	ʕali
عماد	ʕimad
قهوة	ʔahwɛ
ورس	wurus
تحرش	tuħraʃ
أشوس	ʔaʃwas
ممسح	mumassiħ
أبها	ʔabha
ذنب	ðannaba
صحة	sˤiħħa
مفروشات	mafruʃat
خمسون	xamsuna
كروياء	karawjaʔ
لعل	laʕl
شمع	ʃamaʕ
ض	dˤad
جمع	d͡ʒamaʕa
غسق	ɣasaq
درس	dars
بغرير	baɣrir
أسهل	ʔashula
حلال	ħalal
ذرة	ðura
تناقض	tanaqadˤa
فكرة	fikra
ترنج	trind͡ʒ
سميت	samit
هو	wahuwa
دراسي	dirasijj
مردقوش	mardaquʃ
رعد	raʕd
أنت	ʔant
تكدس	tukaddisu
مستقبل	mustaqbal
عيادة	ʕijada
ب	baʔ
مدع	muddaʕin
غانا	ɣana
بندر	bandar
باكستاني	bakistanijj
أوراق	ʔawraq
مسلخ	maslax
مسار	masar
شهر	ʃahara
مداد	midad
قصار	ɡusˤar
باقلاء	baqillaʔ
قبعة	qubbaʕa
لصاق	lisˤaq
فيروز	fajruz
فوري	fawrijj
شبقي	ʃabaqijj
الخمس	alxums
ثمانون	θamanuna
موز	mawz
مساحة	misaħa
شدد	ʃaddada
أعرج	ʔaʕrad͡ʒ
أذن	ʔaðina
غير	ɣujur
مثقال	miθqal
لقاح	liqaħ
البرازيل	albarazil
شراب	ʃurrab
أصفهان	ʔasˤfahan
محدلة	miħdala
صدغ	sˤadɣ
أنيسون	ʔanisun
جلي	d͡ʒalijj
قشلة	qaʃla
لزج	lazid͡ʒa
قراد	qurad
لبنان	lubnan
رستاق	rustaq
أفعى	ʔafʕan
زامبيا	zambija
غ	ɣajn
عدو	ʕaduww
صداقة	sˤadaqa
ماميثا	mamiθa
إمضاء	ʔimdˤaʔ
عقل	ʕaql
تنازع	tanazaʕa
عتيرة	ʕatira
فوفل	fawfal
غضب	ɣadˤab
مدينة	madina
وجود	wuʒud
أعجوبة	ʔuʕd͡ʒuba
إسكاف	ʔiskaf
تحذير	taħðir
صدر	sˤadr
عدمية	ʕadamijja
مجرد	mud͡ʒarrad
شلاق	ʃallaq
فيتنام	vijetnam
ضائن	dˤaʔin
عقدة	ʕuqda
صنان	sˤunan
هنغاري	hanɣarijj
ركض	rakdˤ
سلحفاة	sulaħfah
لهجة	lahɡa
ماسورة	masura
نسوان	nuswan
مقدمة	muqaddima
لحظ	laħðˤ
وقت	waɡt
ف	f
شخص	ʃaxasˤa
كوز	kuz
سدل	sadala
إنفحة	ʔinfaħa
راوند	rawand
لزج	lazid͡ʒ
ققنس	quqnus
أعجمي	ʔaʕd͡ʒimi
ه	haʔ
ل	ɫ
هزل	hazl
مخفر	maxfar
دوليا	duwalijjan
صغر	sˤaɣara
هم	hamm
القطيف	ɪlqətif
رحب	ruħb
ناسفة	nasifa
مارس	maris
توفيق	tawfiq
علا	ʕala
بنجنكشت	band͡ʒankuʃt
امرأ	imraʔ
أمازيغ	ʔamaziɣ
قيتار	qitar
نارجيل	narad͡ʒil
كراث	kurraθ
اعتقادية	iʕtiqadijja
صلعمي	sˤalʕamijj
قضائي	qadˤaʔi
شمام	ʃammam
بكارة	bakara
جورب	d͡ʒawrab
لم	lum
ترجم	tardʒama
ز	zaj
ناخوذة	nawaxiða
جنوب	d͡ʒanub
ملاط	milatˤ
موسى	musan
أوجد	ʔud͡ʒad
سيد	sajjid
كتب	kitab
وثق	waθθaqa
باليه	baleh
والله	wa‿ɫɫahi
صفر	sˤifr
بغل	baɣl
حق	ħuqq
جبان	d͡ʒabban
بيعة	bajʕa
رجل	rad͡ʒd͡ʒala
اشتد	iʃtadda
سوريا	surijja
مرزبة	mirzabba
القطيف	alqatif
صيف	sˤajf
مرتعب	murtaʕib
خوذة	xuða
تزامن	tazamana
غمامة	ɣamama
متزوج	mutazawwid͡ʒ
بوصلة	busˤila
دوش	duʃ
سهلا	sahlan
هيدروجين	hajdrod͡ʒin
أوساكا	ʔusaka
خادم	xadim
حنفية	ħanafijja
إلكترونيات	ʔiliktrunijjat
جميز	d͡ʒummajz
ركلات	rakalat
مصابحة	musˤabaħa
لبان	luban
قاقلة	qaqulla
أولي	ʔawwalijj
هي	hija
محدث	muħaddiθ
ضاع	dˤaʕa
تكدس	tukaddis
شوحة	ʃuħa
أنبوبة	ʔunbuba
شلجم	ʃald͡ʒam
نضب	nadˤaba
إبراهيم	ʔibrahim
طود	tˤawd
خبر	xabar
طحلب	tˤuħlub
عناية	ʕinaja
جمهورية	d͡ʒumhurijja
باطية	batˤija
مصل	masˤl
أغلب	ʔuɣallaba
قز	qazz
شرعي	ʃarriʕi
محاسبة	muħasaba
قتل	qitl
مثل	maθθala
عطن	ʕatˤan
منتظر	muntaðˤar
غلب	ɣallaba
راب	raba
فقوسة	faqqusa
أحب	ʔaħabb
غرب	ɣurb
أو	ʔaw
أرجان	ʔard͡ʒan
تنفس	tunaffas
كيلوغرام	kiluɡram
السبت	assabt
وجبة	wad͡ʒba
أعض	ʔaʕadˤdˤa
فلس	fuls
انتقد	intaqada
فرأ	faraʔ
قام	qama
قيصوم	qajsˤum
شيخ	ʃajx
خبط	xabbatˤa
مستفرغ	mustafriɣ
أنزع	ʔanzaʕa
غرامة	ɣarama
صفة	sˤuffa
أطل	ʔatˤalla
قرميد	qirmid
اشترى	iʃtara
تراخوما	tiraxuma
كوسوفو	kusufu
جزمازج	d͡ʒazmazad͡ʒ
دب	dubb
بوان	biwan
ثقل	θaqula
يرقة	jaraɡa
مصنع	masˤnaʕun
اصطاد	isˤtˤada
أممي	ʔammimi
قتل	qatl
مرفأ	marfaʔ
ترنجان	turund͡ʒan
يسار	jusarru
عنصرية	ʕunsˤurijja
جنينة	d͡ʒunajna
كره	kariha
نون	nun
أيل	ʔajjil
ألا	ʔala
ممسح	mimsaħ
ماسح	masiħ
تنديل	tandilijja
ليلك	lilak
قضم	qadˤm
حالة	ħalata
جندية	d͡ʒundijja
أدهش	ʔadhiʃ
خيرة	xijara
تايلندي	tajlandijj
شعبية	ʃaʕbijja
دسار	disar
إريس	ʔirris
غضب	ɣudˤiba
نقض	naqadˤa
فروغ	furuɣ
شحرور	ʃuħrur
انخرط	inxaratˤa
احتضن	iħtadˤana
شراب	ʃarab
فصيلة	fasˤila
قلية	qillijja
تقرح	taqarraħa
مضاربة	mudˤaraba
عطن	ʕatˤina
عشرون	ʕiʃrun
شام	ʃama
تينة	tina
أغضب	ʔaɣdˤaba
ولاية	wilaja
بلاذر	balaðir
هو	hu
هدس	hadas
علج	ʕild͡ʒ
بطانة	bitˤana
رسداق	rusdaq
صحافي	sˤiħafijj
أمستردام	ʔamstirdam
إيران	ʔiran
فران	farran
بازار	bazar
متلوث	mutalawwiθ
منبه	munabbih
رتيلة	rutajla
أن	ʔann
مخصصات	muxasˤsˤasˤat
أنقض	ʔanqadˤi
غني	ɣanni
اعتلى	iʕtala
حصل	ħasˤala
إربيان	ʔirbijan
أكتوبر	ʔuktubar
ورس	wars
زنخ	zanixa
تفاوض	tafawadˤa
خيط	xajtˤ
تصغير	tasˤɣir
جريب	d͡ʒarib
حرق	ħarraqa
إبليس	ʔiblis
قذارة	qaðara
مثل	maθal
ذوب	ðawwaba
مغناطيسية	miɣnatˤisijja
زكام	zukam
اعتل	iʕtalla
زرزر	zurzur
غرفة	ɣurfa
زجاجة	zad͡ʒad͡ʒa
تقديم	taqdim
موسكو	mosko
مثل	miθli
هدف	hadaf
صناب	sˤinab
بطارخ	batˤarix
جاء	d͡ʒaʔa
فريق	fariq
مالقة	malaqa
بليحاء	baliħaʔ
دم	dimm
طالما	tˤalama
سن	sinn
لكن	lakin
انفرث	infaraθa
ناردين	nardin
جرافة	d͡ʒarrafa
جنب	d͡ʒuniba
فرند	firind
سيدا	sida
تحرش	tuħarraʃa
دينار	dinar
جرجير	d͡ʒird͡ʒir
سنة	sunna
شمالي	ʃamalijj
صبر	sˤabr
صك	sˤakka
عض	ʕidˤdˤ
ناقض	naqadˤa
شرد	ʃarada
عجول	ʕad͡ʒul
نوح	nawħ
ؤ	ʔ
إمهال	ʔimhal
رب	rabbi
تنوب	tannub
أنطاليا	ʔantˤalija
إما	ʔimma
زبل	zibl
كتب	kutub
صواع	sˤiwaʕ
فعلا	fiʕlan
بعيد	baʕid
هيبة	hajba
مستشرق	mustaʃriq
أسود	ʔusud
شاخ	ʃaxa
انتظر	intaðˤara
بارز	baraza
فسا	fasa
عبد	ʕabada
بطؤ	batˤuʔa
في	fi
قوم	qawm
غائر	ɣaʔir
فراسيون	farasijun
سيرج	sirid͡ʒ
بغلة	baɣla
قدوم	qajdum
هناك	hunaka
توقف	tawaqqafa
صعب	sˤaʕb
سكرجة	sukrud͡ʒa
فتق	fatq
عتيق	ʕatiq
تزحلق	tazaħluq
بح	baħħa
تصنيف	tasˤnif
رضيع	radˤiʕ
عرقي	ʕirqijj
مبارك	mubarik
إياك	ʔijjaka
رئيسي	raʔisijj
غالب	ɣalib
صاقور	sˤaqur
قديم	qadim
قسطاس	qustˤas
فاوض	fawadˤa
قيثارة	qiθara
تحريضي	taħridˤijj
عضلة	ʕadˤala
لو	law
بلور	billawr
ساهور	sahur
البهاما	albahama
أوروغواي	ʔuruɣuwaj
برذون	birðawn
سمن	sammana
طل	tˤul
شيمة	ʃima
بالوعات	baluʕat
شاهدانج	ʃahdanad͡ʒ
علل	ʕallala
معقود	maʕqud
سمع	samʕ
جامعة	d͡ʒamiʕa
اكتسب	iktasaba
سيكران	sajkaran
صراط	sˤiratˤ
نوفمبر	nufimbir
آدمي	ʔadamijj
صربيا	sˤirbija
عبقري	ʕabqarijj
مطار	matˤar
جدوار	d͡ʒadwar
قهوة	ɡhawa
طباخ	tˤabbax
أخرس	ʔaxras
أسارون	ʔasarun
عظم	ʕaðˤuma
طعن	tˤaʕana
شاي	ʃaj
أكتوبر	ʔuktubir
مؤتمر	muʔtamar
متنوع	mutanawwiʕ
هو	huwa
درياق	dirjaq
أرز	ʔuruzz
بذرقطونا	baðraqatˤuna
أيلول	ʔajlul
فضي	fidˤdˤijj
جناح	d͡ʒanaħ
تجدد	tad͡ʒaddada
شلة	ʃilla
صاخب	sˤaxib
شهادة	ʃahada
تعفج	taʕaffad͡ʒa
ساج	sad͡ʒ
وجيز	wad͡ʒiz
قرطاس	qirtˤas
تساوى	tasawa
فقوس	faqqus
صلصال	sˤalsˤal
غد	ɣad
مذاق	maðaq
قيطون	ɡatˤun
قيراط	qiratˤ
فرفيري	firfirijj
طاح	tˤaħa
حكومي	ħukumijj
تضرر	tadˤarrur
مساحة	massaħa
قلوي	qilwijj
بس	bassa
إنما	ʔinnama
أعياد	ʔaʕjad
مفتش	mufattaʃ
صيني	sˤinijj
نظر	niðˤr
نيكاراغوا	nikaraɣuwa
إ	ʔi
ق	q
هويات	huwijjat
ثقيل	θaqil
تنفس	tanfusa
عبوة	ʕubuwwah
مارس	mars
ساط	satˤa
واعد	waʕada
قبر	ɡabur
قسيس	qissis
هراوى	harawa
كراوية	karawija
أذن	ʔaðn
دائخ	daʔix
تشنج	taʃannud͡ʒ
أذن	ʔuðun
إنبيق	ʔinbiq
اعتاد	iʕtada
رسول	rasul
اختبأ	ixtabaʔ
سكن	sakana
طربوش	tˤarbuʃ
فارغ	fariɣ
لهجة	lahd͡ʒa
قوت	qut
جميل	ɡamil
محلي	muħalli
بقية	baqijja
أدار	ʔadara
أعل	ʔaʕalla
مسطرة	mistˤara
شدة	ʃadda
فريسة	farisa
تعذب	taʕaððaba
تنامى	tanama
ودج	ʔawdad͡ʒ
مدرك	mudrik
سوس	sawwasa
برعم	burʕum
ولد	walada
عيد	ʕid
قوض	qawwadˤa
جمل	ɡæmɛl
ثعبان	tuʕban
أحاط	ʔuħatˤa
كتاب	kuttab
أله	ʔallaha
صغر	sˤiɣar
ضاحية	dˤaħija
جعفر	d͡ʒaʕfar
حسنا	ħasanan
