ذرية	ðurrijjah
صحراء	sˤaħraʔ
جبس	d͡ʒibs
كزمازج	kazmazad͡ʒ
كم	kamm
عبيثران	ʕubajθaran
قرصنة	qarsˤana
كبد	kabbada
زنبور	zambur
شنع	ʃannaʕa
بذلة	baðla
متلوث	mʊtələwɪθ
قد	qad
آل	ʔalu
جاورس	d͡ʒawars
حينئذ	ħinaʔiðin
تنفيذ	tanfið
حاجز	ħad͡ʒiz
أنتن	ʔantunna
عار	ʕarin
ترنيم	tarnim
ركض	rakadˤa
لبلابي	lablabijj
أوجد	ʔud͡ʒadu
قنطار	qintˤar
شفر	ʃafr
أسهل	ʔashal
جليد	d͡ʒalid
شيء	ʃiʔa
وقف	waqafa
فتة	fatta
تحرش	taħriʃu
قاوق	qawuq
ركف	rakaf
أخاديد	ʔaxadid
ثور	θawr
تألف	taʔallafa
مشترك	muʃtarak
سجين	sad͡ʒin
تعليق	taʕliq
إشبينة	ʔiʃbina
شمس	ʃamas
سماء	samaʔ
وسع	wasuʕa
صنارة	sˤinnara
قاد	qada
سبسب	sabsab
ربيع	rabiʕ
عنق	ʕunuq
فصيل	fasˤil
فدائي	fidaʔijj
حجامة	ħid͡ʒama
كثيب	kaθib
عار	ʕar
بسملة	basmala
مص	masˤsˤ
مربض	marbidˤ
ناصع	nasˤiʕ
تعصب	taʕasˤsˤub
أخذ	ʔaxxaða
فراشة	faraʃa
ن	n
أهدب	ʔahdab
قوش	quʃ
أعزل	ʔaʕzal
حينذاك	ħinaðaka
صنارة	sˤinara
تعالى	taʕala
فسقية	fisqijja
شعبي	ʃaʕbijj
رحمة	raħma
طراح	tˤiraħ
حوذان	ħawðan
شين	ʃin
حيوان	ħajawan
سنبل	sunbul
دساتير	dasatir
اضطهاد	idˤtˤihad
كندا	kanada
كتابخانة	kitabxana
عجول	ʕud͡ʒul
هنغاريا	hinɣarija
بودابست	budabist
إمبراطوري	ʔimbaratˤurijj
ألباني	ʔalbanijj
أوغندا	ʔuɣanda
رأس	raʔasa
سورينام	surinam
غار	ɣara
شعر	ʃaʕar
شمبانيا	ʃambanja
شقة	ʃiqqa
خرافي	xurafijj
حب	ħubb
استمنى	istamna
ضباب	dˤibab
تكفير	takfir
عرنسية	ʕaransijja
طحن	tˤaħana
استمارة	istimara
فجل	fad͡ʒal
غ	ʁajn
سمع	samiʕa
حيواني	ħajawanijj
لاوس	laws
عنب	ʕunab
كزمازك	kazmazak
أثل	ʔaθalat
مقشرة	miqʃara
نحلة	naħla
سياع	sijaʕ
ملجأ	mald͡ʒaʔ
مغبن	maɣban
جردل	d͡ʒardal
سنغافورة	sinɣafura
دغموس	daɣmus
روض	rawwadˤa
سقم	saqam
تطوان	titˤwan
أغلب	ʔuɣallibu
يانسون	janasun
تعسفي	taʕassufijj
حديقة	ħadiqa
صوم	sˤawm
حرذون	ħirðawn
خصص	xasˤsˤasˤa
متحمس	mutħamis
شرشيري	ʃarʃirijj
مقشدة	miqʃada
مسجد	masd͡ʒid
لعبة	laʕba
زنار	zunnar
حقد	ħiqd
تهدل	tahaddala
إثمد	ʔiθmid
عافية	ʕafija
شاف	ʃafa
أخلاقي	ʔaxlaqijj
تامول	tamul
عنيف	ʕanif
مزر	mizr
كوثل	kawθal
أثاث	ʔaθaθ
النمسا	annimsa
تقضى	tuqdˤa
رمش	ramaʃa
داود	dawud
أسود	ʔaswad
خلفي	xalfijj
توراة	təwrɑt
مفرغ	mufriɣ
مقام	maqam
علقم	ʕalqam
س	sin
محافظة	muħafiðˤa
لاث	laθa
رياضي	rijadˤijj
بليحة	baliħa
أمس	ʔumassa
رحمن	raħħamna
مرقشيتا	marqaʃita
وزع	wazzaʕa
أغلب	ʔaɣlab
مات	mata
زفن	zafana
ساهم	sahama
قرأ	qaraʔa
جزمازك	d͡ʒazmazak
هنالك	hunalika
صومعة	sˤawmaʕa
لعبة	luʕba
باء	baʔ
وغل	waɣala
كاراطي	karatˤi
دولي	duwalijj
زهرية	zahrijja
اجتنب	id͡ʒtanaba
درك	darak
أفرط	ʔafratˤa
سيخية	sixijja
قبطان	qubtˤan
جحفل	d͡ʒħfala
ظليم	ðˤalim
زم	zamma
كنيسة	kanisa
سكرجة	sukurrad͡ʒa
أكتوبر	ʔaktubar
مرقشيثا	marqaʃiθa
معروف	maʕruf
سنة	sina
ألقى	ʔalqa
متى	matta
خرسانة	xarasana
محبس	miħbas
اقترح	iqtaraħa
زراعي	ziraʕijj
مركب	murakkab
فعل	faʕl
نضار	nudˤar
كرح	kirħ
سلاطين	salɑtin
بطاطا	batˤatˤa
نبأ	nabaʔ
خالق	xaliq
مجوهرات	mud͡ʒawharat
ميراث	miraθ
سقم	suqm
تجنب	tad͡ʒannaba
كلوتة	kalluta
أنبوب	ʔunbub
بامية	bamija
ماء	maʔ
نفض	naffadˤa
وسمة	wasma
كمثراة	kummaθrah
مكافح	mukafiħ
ريحان	rajħan
حرنكش	ħarankaʃ
قبرة	qubbara
أزرق	ʔazraɡ
الفاتيكان	alvatikan
ينسون	jansun
جلنجبين	d͡ʒulland͡ʒabin
كوة	kawwa
طاف	tˤafa
قتلة	qatlah
يوسف	jusuf
بلغمي	balɣamijj
ناشف	naʃif
خريطة	xaritˤa
مجنون	mæɡnun
جسمان	d͡ʒusman
محراث	miħraθ
إندونيسيا	ʔindunisija
حصرم	ħasˤram
هيف	hajf
قصير	qasˤir
شخشخ	ʃaxʃaxa
فنزويلا	fenzuwela
استحصل	istaħsˤala
حصل	ħasˤal
كنز	kanaza
بعثي	baʕθijj
فز	fazza
قيظ	qajðˤ
تنديل	tandil
عبيثران	ʕabajθaran
حفر	ħafara
لغة	luɣa
غدة	ɣudda
أيوبي	ʔajjubijj
قلعة	qalʕa
مجنون	meɪjnun
فلانة	flɑnɐ
حساسي	ħassasijj
أشوه	ʔaʃwah
سوق	suʔ
نهر	nahar
سهل	sahhala
جواب	d͡ʒawab
أقرب	ʔaqrab
حنبل	ħanbal
غبط	ɣabatˤa
قيطون	ɡitˤun
مقدونيا	maqdunija
خطة	xutˤtˤa
باطس	batˤus
فعل	faʕʕala
ضفدع	dˤifdaʕ
تنبول	tumbul
ضيق	dˤajq
حنظلة	ħanðˤala
بنطال	bantˤal
تنقض	tanaqqudˤ
بعر	baʕr
غطس	ɣatˤasa
مقص	miqasˤsˤ
طاعم	tˤaʕama
سرخس	sarxas
مستنقع	mustanqaʕ
جزدان	d͡ʒuzdan
صبر	sˤabara
إذخر	ʔiðxir
تجذير	tad͡ʒðir
عامل	ʕamala
فيديو	fidju
وصيد	wasˤid
وقت	waqqata
زنبوج	zanbud͡ʒ
قفير	qafir
أسري	ʔusrijj
أسفاراج	ʔasfarad͡ʒ
تنفس	tanfus
صمام	sˤimam
أقدر	ʔaqdara
حامض	ħamidˤ
قرش	qirʃ
صفيراء	sˤufajraʔ
بوصلة	bosˤla
صالح	sˤaliħ
مدة	muddata
فتح	fatħ
خرشوف	xurʃuf
الله	aɫɫah
خلقي	xalliqi
بلان	ballan
جنب	d͡ʒanab
انصرف	insˤarafa
بعض	baʕdˤ
وارث	wariθ
حاضرة	ħadˤira
إدريس	ʔidris
مكنسة	miknasa
مكسرات	mukassarat
دين	dajn
ثمن	taman
مغفل	muɣaffal
بوصلة	busˤle
قابلة	qabla
دويبة	duwajbbah
راجمة	rad͡ʒima
منسأة	mansaʔa
كراميل	karamil
تلفون	talifon
فانوس	fanus
قشف	qaʃʃafa
اللات	allat
جوذاب	d͡ʒuðab
محراب	miħrab
أباريق	ʔabariq
فورا	fawran
عبرة	ʕibra
قفاز	qufaz
معجون	maʕd͡ʒun
بائع	baʔiʕ
محجم	miħd͡ʒam
أستاذ	ʔustaz
عدد	ʕadad
ساد	sada
صلابة	sˤalaba
آمن	ʔamin
كبيرة	kabirah
ات	at
راقص	raqasˤa
رند	rand
لكنة	lukna
علم	ʕalam
نافذة	nafiða
تبريز	tabriz
مهدد	muhaddad
عجج	ʕad͡ʒd͡ʒad͡ʒa
عطس	ʕatˤasa
برن	birn
أرض	ʔardˤ
غفلة	ɣafla
جمع	d͡ʒamʕ
زنديق	zindiq
شندقورة	ʃandɡura
كبريت	kabrit
ناعور	naʕur
مكدس	mukaddas
جنيف	d͡ʒinif
لندني	lundunijj
ماجور	maɡur
أعلى	ʔuʕla
تحرش	taħriʃa
ساجور	sad͡ʒur
شاهترج	ʃahtarad͡ʒ
أشيب	ʔaʃjab
تشاعر	taʃaʕara
توارى	tawara
هاتف	hatif
شحن	ʃaħana
فرث	faraθa
مشط	maʃatˤa
بوروندي	burundi
كبيس	kabis
واق	waqin
مساطر	masatˤir
رقيب	raqib
ائتلاف	iʔtilaf
أزب	ʔazabb
مغرفة	miɣrafa
حطب	ħatˤab
مو	mu
قلب	qalaba
واجهات	wad͡ʒihat
تراجم	tarad͡ʒama
أغبر	ʔaɣbar
سنت	sannat
ناقوس	naqus
بزاق	buzaq
إحسان	ʔiħsan
سمن	samina
أكاف	ʔukkaf
أسمر	ʔasmar
طيفور	tˤajfur
صفصاف	sˤafsˤaf
ظالم	ðˤalim
كرنب	kurunb
سريلانكا	sirilanka
أولو	ʔulu
ساحة	saħa
شم	ʃamm
خنزير	xinzir
رمضان	rumdˤan
إبطاء	ʔibtˤaʔ
لقح	laqaħa
أدهش	ʔadhaʃa
أنقض	ʔanqadˤa
قريدس	qurajdis
روسيا	rusja
غابة	ɣaba
تغوط	taɣawwatˤa
أرغفة	ʔarɣifa
مثنان	maθnan
القدس	alquds
أقرأ	ʔaqraʔa
مريم	marjam
طابور	tˤabur
غرق	ɣariqa
انجرف	ind͡ʒarafa
توعية	tawʕija
خرافة	xurafa
خدش	xadaʃa
أيوب	ʔajjub
خ	xaʔ
غويانا	ɣujana
ناخوذة	naxuða
عيدية	ʕidijja
برز	baraza
أنثوي	ʔunθawijj
همجي	hamad͡ʒijj
مصدق	musˤaddaq
سكي	sakkijj
صدق	sˤadaqa
ساذج	saðid͡ʒ
برئ	bariʔa
مؤسس	muʔassis
تخم	taxm
رج	rad͡ʒd͡ʒa
ووفق	wufiqa
تحرش	tuħarriʃu
سيرج	sirad͡ʒ
سجادة	sad͡ʒd͡ʒada
وارث	wɑrɪθ
لبسة	libsa
شاكر	ʃakir
زمرد	zumurrud
نهضة	nahdˤa
بلوة	bila
ت	t
أثناء	ʔaθnaʔ
مقولة	mɐqulə
مضيف	mudˤif
موت	mawt
راحة	raħa
فأس	faʔs
بارز	bariz
كندس	kundus
ضبط	dˤabatˤa
قصعين	qasˤʕin
قلعي	qalʕijj
تكدس	takaddasa
أعرن	ʔaʕrana
حليب	ħalib
ديسم	dajsam
برتقال	bʊrtəqɑl
فسقية	fasqijja
جاهز	d͡ʒahiz
عبوة	ʕubuwah
لج	lad͡ʒd͡ʒa
آشوري	ʔaʃurijj
قوة	quwwa
سيراء	siraʔ
عضوي	ʕudˤwijj
نيلج	nilad͡ʒ
مدهش	mudhiʃ
لاسلطوية	lasultˤawijja
أسطورة	ʔustˤura
مؤسسة	muʔassasa
جربوز	d͡ʒarbuz
المجر	almad͡ʒar
مجفل	mud͡ʒaffal
أخدر	ʔaxdar
عنوان	ʕunwan
سيخ	six
أترج	ʔutrud͡ʒd͡ʒ
صحوة	sˤaħwa
محسن	muħassan
مالطي	maltˤijj
باز	baz
سلة	salla
زوفا	zufa
اصهاب	isˤhabba
أفغاني	ʔafɣanijj
صاع	sˤaʕ
عرناس	ʕirnas
مقدونيا	maqdonija
سلا	sala
فضة	fidˤa
قرصة	qarsˤa
سميك	samik
ذكر	ðakara
خطيئة	xatˤiʔa
لوز	lawz
سركنجبين	sirkand͡ʒubin
هراوة	hirawa
ليث	lajθ
بلجيكا	bald͡ʒika
بعوض	baʕudˤ
مرجان	mard͡ʒan
بنجر	band͡ʒar
حنظل	ħanðˤal
بسكرة	biskara
رزداق	ruzdaq
غرب	ɣarb
أرز	ʔarz
كراث	karraθ
قملة	qamla
فتة	fattat
متكلم	mutakallim
يلب	jalab
طمي	tˤamj
ابتلى	ibtala
عنقاد	ʕinqad
متين	matin
أدهش	ʔudhiʃa
آنك	ʔanuk
جنيه	d͡ʒunajh
مع	maʕa
معادلة	muʕadala
إطريفل	ʔitˤrifal
فيديو	vidjo
أحسن	ʔaħsan
كهرباء	kahrubaʔ
راء	raʔ
سكار	sukkar
استفسار	istifsar
زنبور	zumbur
ثرب	θarb
شاة	ʃah
زوجة	zod͡ʒa
أعفر	ʔaʕfar
ملكوت	malakut
جد	d͡ʒidd
جبة	d͡ʒubba
شن	ʃanna
رزتاق	ruztaq
مؤنث	muʔannaθ
جز	d͡ʒazza
أستاذ	ʔustad
كبير	kbir
غريب	ɣarib
طنجة	tˤand͡ʒa
تكدس	takdisa
تهديد	tahdid
باسور	basur
إحدى	ʔiħda
أغلب	ʔuɣallab
بغاء	biɣaʔ
داء	daʔ
عرين	ʕarin
صفحة	sˤafħa
معركة	maʕraka
رضعاء	rudˤaʕaʔ
أرجواني	ʔard͡ʒuwanijj
جبناء	d͡ʒubanaʔ
بقرة	baqara
دهنج	dahnad͡ʒ
مرحاض	mirħadˤ
أمازيغي	ʔamaziɣijj
اليسع	aljasaʕ
حدا	ħada
رطوبة	rutˤuba
غزة	ɣazza
اكترى	iktara
غ	ɣ
لدغ	ladaɣa
وقار	waqar
أدهش	ʔudhaʃu
تكميلي	takmilijj
مقدار	miɡdar
سعد	suʕd
صنج	sˤand͡ʒ
دقيقة	daqiqa
أدمن	ʔadmana
سنبك	sumbuk
حج	ħaʒʒ
بيت	bita
مرزبان	marzaban
قداد	qadad
بلجيكا	bild͡ʒika
ذنب	ðanb
كلمة	kalima
ذ	ð
لثم	laθama
خدش	xadʃ
التشيك	attʃik
اسكتلندي	iskutlandijj
دكتور	duktor
أوتوماتيكي	ʔutumatikijj
زفيزف	zufajzaf
أشابة	ʔuʃaba
فور	fawra
مزورة	muzawwara
زميل	zamil
انتفاضة	intifadˤa
قشف	qaʃufa
أبدى	ʔabda
كاذب	kaðib
رحيق	raħiq
حر	ħarr
جهاد	d͡ʒihad
مسى	masa
نحال	naħħal
شفنين	ʃifnin
بلس	bilis
مدرك	mudrak
استأنف	istaʔnafa
سندس	sundus
محاصر	muħasˤar
بكين	pikin
نعاس	nuʕas
سذاب	saðab
فاكهة	fakiha
نفاذ	nafað
تحريض	taħridˤ
قلاية	qallaja
جمعي	d͡ʒammiʕi
عجلة	ʕad͡ʒila
وزراء	wuzaraʔ
حسل	ħisl
إسلام	ʔislam
دم	damm
تشيلي	tʃili
فتاحة	fattaħa
أم	ʔamm
بكى	bukan
بصل	basˤal
زحمة	zaħma
تجوف	tad͡ʒawwuf
نخشوش	naxʃuʃ
غشيم	ɣaʃim
خريف	xarif
محيط	muħitˤ
حربة	ħarba
زحف	zaħf
مأوى	maʔwan
استشراق	istiʃraq
رأسي	raʔsijj
ميناء	minaʔ
قرر	qarrar
شمس	ʃamasa
لاوس	lawos
ضرب	dˤarraba
بركة	burka
بلاستيك	blastik
سرنديب	sarandib
رحمن	ruħimna
صغار	sˤuɣar
تدريج	tadrid͡ʒ
وجهة	wud͡ʒha
إكوادور	ʔikwador
نيجيريا	nid͡ʒirija
أمكن	ʔamkana
عجان	ʕid͡ʒan
أدحية	ʔudħijja
هواء	hawaʔ
بحري	baħrijj
ثفروق	θufruq
محجمة	miħd͡ʒama
غلب	ɣalb
قيثار	qiθar
مقداد	miqdæd
راء	raʔin
كروية	karawja
ران	rana
بحار	baħħar
هذر	haðara
رأى	raʔa
فتحة	fatħa
نور	nur
عرف	ʕarf
جرارة	d͡ʒarrara
بربرية	barbarijja
اعتدى	iʕtada
وروار	warwar
ليزر	lezar
ليس	lajisa
فطيس	fitˤtˤis
ضحك	dˤaħik
جوهري	d͡ʒawharijj
ديسمبر	disambar
إيمان	ʔiman
زعتر	zaʕtar
سيف	sif
بلاهة	balaha
استطار	istatˤara
تغريدة	taɣrida
آنسة	ʔanisah
صدق	sˤidq
تحرش	taħarruʃ
معير	muʕajjir
هم	him
رأل	raʔl
إسقنقور	ʔisqanqur
فراطة	furatˤa
إطفائي	ʔitˤfaʔijj
اطرد	utˤrud
قطران	qitˤran
حبل	ħabal
عشية	ʕaʃijja
مكاء	mukkaʔ
قلم	qələm
قنبلة	qunbula
داعش	daʕiʃ
رجل	rad͡ʒl
تقضى	taqadˤdˤa
لزاق	lizaq
دارجة	darid͡ʒa
شكوهج	ʃakuhad͡ʒ
بطرخ	batˤrax
لؤلؤ	luʔluʔ
قصار	qisˤar
كمأة	kamʔa
مهارة	mahara
أجهد	ʔad͡ʒhada
ليس	lajsa
ولاعة	wallaʕa
غبن	ɣubn
قاعدة	qaʕida
شعب	ʃaʕb
علم	ʕalima
حرص	ħirsˤ
قشر	qaʃara
مغلق	miɣlaq
طرق	tˤarraqa
تاكسي	taksi
دمقس	dimaqs
أكرى	ʔakra
نزلة	nazla
رتينج	ratinad͡ʒ
تنفس	tanaffasa
قلم	qalm
أيل	ʔujjal
تزحلق	tazaħlaqa
أسوأ	ʔaswaʔ
أجزاء	ʔad͡ʒzaʔ
تاب	taba
رداء	ridaʔ
تحرش	tuħraʃu
ركن	rukn
صغر	sˤaɣura
صفن	sˤafan
مبكرا	mubakkiran
مسود	muswadd
انتهى	intaha
بنين	binin
وعليكم	wæʕælæjkum
قبلا	qablan
قيتارة	qitara
ملح	mulħa
سكن	sakkana
كلخ	kalx
رد	radd
شرعية	ʃarʕijja
ذوق	ðawq
سجنجل	sad͡ʒand͡ʒal
سفيه	safih
ن	nun
فيج	fajd͡ʒ
أمغر	ʔamɣar
وهمي	wahmijj
دفاع	difaʕ
بنان	banan
قطع	qatˤaʕ
بركار	birkar
بغداد	baɣdad
نحن	naħni
قفص	ɡafasˤ
دليل	dalil
نافلة	nafila
بزرقطونا	bazraqatˤuna
جامع	d͡ʒamiʕ
عشب	ʕuʃb
أنت	ʔanta
رهينة	rahina
طاق	tˤaq
مخرج	muxrad͡ʒ
راجل	rad͡ʒil
غبيراء	ɣubajraʔ
لحاق	laħaq
أونصة	ʔunsˤa
بديهي	badihijj
خ	x
ضرط	dˤaratˤa
زورق	zawraq
تنفس	tunfasu
آمن	ʔamuna
انتمى	intama
سبب	sabab
غرور	ɣurur
صدر	sˤadara
قد	qudd
متناول	mutanawil
موقع	mawqiʕ
تل	tall
سياج	sijad͡ʒ
طابق	tˤabaq
طموحات	tˤumuħat
عام	ʕamm
مخبول	maxbul
مهرجان	mahrad͡ʒan
بلغاريا	balɣarja
اشتهى	iʃtaha
دابر	dabir
إبيقوري	ʔibiqurijj
مستوصف	mustawsˤaf
ظمئ	ðˤamiʔa
مرصد	marsˤad
مغامر	muɣamir
موسمي	mawsimijj
خلنجان	xaland͡ʒan
ذاكرة	ðakira
الحبشة	alħabaʃa
جسماني	d͡ʒismanijj
فتح	fataħa
دقنيش	daqniʃ
حائط	ħaʔitˤ
قفقف	qafqafa
صغار	sˤiɣar
صقر	sˤaqr
كسوة	kuswa
عمودي	ʕamudijj
سقنقور	saqanqur
مؤامرة	muʔamara
غاسول	ɣasul
مدهش	mudhaʃ
ملاحظ	mulaħaðˤ
قشر	qiʃr
قدم	qadm
كذاب	kaððab
ثلج	θald͡ʒ
لسع	lasaʕa
سخبر	saxbar
برقوق	barquq
بادية	badija
استغرق	istaɣraqa
طرشي	tˤurʃijj
أنفق	ʔanfaqa
بوط	butˤ
شوبك	ʃawbak
صابح	sˤabiħ
مذي	maði
بالون	balun
معاينة	muʕajana
كثيف	kaθif
اعتزام	iʕtizam
أغلب	ʔaɣlaba
خلاعي	xalaʕijj
راع	raʕin
تكشف	takaʃʃafa
ذنب	ðanaba
رحمن	raħħimna
ضاد	dˤadda
بواب	bawwab
منارة	manara
كدس	kaddasa
كشوت	kuʃuθ
قنبر	ɡəmbri
أجمع	ʔad͡ʒmaʕa
زقوم	zaqqum
حلقوس	ħalqus
ناطف	natˤif
أعقد	ʔaʕqad
وتدي	watadijj
طاولة	tˤawila
شرطة	ʃurtˤa
عربة	ʕaraba
أخدر	ʔaxdara
طاء	tˤaʔ
رتيلاء	rutajlaʔ
منذ	munðu
مشعل	maʃʕal
خثي	xiθj
هبة	hibba
بحر	baħara
راسخت	rasuxt
ق	qaf
روسيا	rusija
علة	ʕilla
لمى	lama
هذيان	haðajan
معى	miʕan
كوخ	kux
شيخوخة	ʃajxuxa
رفقة	rifqa
أسترالي	ʔusturalijj
طيارة	tˤijjara
أحاط	ʔaħatˤa
سبتمبر	sabtambar
وفاء	wæfæʔ
ركبة	rakaba
شياف	ʃijaf
غبي	ɣabija
إنجليزي	ʔind͡ʒlizijj
خطف	xatˤifa
كره	karuha
دكان	dukkan
مسن	musinn
سلاف	sulaf
رئيس	raʔis
تساءل	tasaʔala
شوكي	ʃawkijj
تراجيديا	trad͡ʒidja
يؤيؤ	juʔjuʔ
حنة	ħinna
مشتريات	muʃtarajat
أساسي	ʔasasijj
سكة	sikka
وقت	waqt
ملاحظ	mulaħiðˤ
بولندا	polanda
حجة	ħid͡ʒd͡ʒa
لاح	laħa
استقدم	istaqdama
محافظ	maħafiðˤ
يحيى	jaħja
سنت	sunnat
راعدة	raʕida
استقل	istaqalla
شفاف	ʃaffaf
ض	ðˤ
موريتانيا	muritanija
واحة	waħa
صوت	sˤawt
عجب	ʕad͡ʒab
وقف	waqqafa
اغتصب	iɣtasˤaba
نسبي	nisbijj
أكثرية	ʔakθarijja
فعل	faʕala
غني	ɣanijj
كدس	kadasa
عباءة	ʕabaʔa
حالة	ħala
أسرة	ʔusra
أعذب	ʔaʕðaba
عاصف	ʕasˤif
شابانج	ʃabanad͡ʒ
يد	jad
هوندوراس	honduras
تعادل	taʕadala
ورى	wara
مزمن	muzmin
قرش	qarʃ
فرشاة	furʃah
زوج	zawd͡ʒ
عسجد	ʕasd͡ʒad
دستوري	dusturijj
شطر	ʃatˤara
أولى	ʔula
أنفحة	ʔanfiħa
منغوليا	monɣolija
جزدان	d͡ʒizdan
مكالمة	mukalama
نهض	nahdˤ
بعيثران	buʕajθaran
صحيفة	sˤaħifa
باطني	batˤinijj
مالك	malik
هميان	himjan
فأر	faʔr
وزغ	wazaɣ
أخ	ʔax
أشعل	ʔaʃʕal
لم	lam
جلنار	d͡ʒullanar
استنتاج	istintad͡ʒ
محيل	muħil
فوذنج	fuðanad͡ʒ
لوطي	lutˤi
إدارة	ʔidara
حنجري	ħand͡ʒarijj
حرمل	ħarmal
طقس	tˤaʔs
طقس	tˤaqs
تدرب	tadarrub
غير	ɣajjara
إنترنت	ʔintarnat
تعزل	taʕazzala
شمشاد	ʃamʃad
قنجة	qand͡ʒa
شب	ʃabba
حقق	ħuqaq
قبج	qabad͡ʒ
أصغى	ʔasˤɣa
سئم	saʔima
آخر	ʔaxar
مشواة	miʃwah
أرجواني	ʔurd͡ʒuwanijj
درس	darrasa
علي	ʕalija
أراد	ʔarada
توزيع	tawziʕ
دين	dajjana
نسكي	nusukijj
استجهل	istad͡ʒhala
كهنوت	kahanut
سكران	sakran
ط	tˤ
تغريد	taɣrid
جذع	d͡ʒaðaʕ
بثور	buθur
زنجبيل	zand͡ʒabil
بطروخ	batˤrux
أخلاقية	ʔaxlaqijja
اصهب	isˤhabba
أعتن	ʔaʕtana
ترجمة	tard͡ʒama
رمل	raml
تدرج	tadarrud͡ʒ
القسطنطينية	alqustˤantˤinijja
ؤ	ʔu
